backbone,config,budget,rep,method,C,auroc_light,sens_light,spec_light,auroc_mid,sens_mid,spec_mid,auroc_dark,sens_dark,spec_dark,gap_auroc
resnet50_frozen,std_tunedC,25,10,src_cond_dark,0.1,0.540625,0.1,1.0,0.7109452736318407,0.0,1.0,0.6726973684210525,0.10526315789473684,0.984375,-0.13207236842105252
resnet50_frozen,std_tunedC,25,10,src_cond_shuf,0.1,0.58828125,0.05,1.0,0.7044776119402986,0.0,1.0,0.622532894736842,0.05263157894736842,1.0,-0.03425164473684206
resnet50_frozen,std_tunedC,25,11,simple,0.01,0.48124999999999996,0.05,0.96875,0.6577114427860697,0.06666666666666667,0.9253731343283582,0.7023026315789473,0.21052631578947367,0.875,-0.2210526315789474
resnet50_frozen,std_tunedC,25,11,fair,0.1,0.484375,0.05,0.96875,0.6527363184079602,0.06666666666666667,0.9253731343283582,0.6973684210526316,0.21052631578947367,0.875,-0.21299342105263164
resnet50_frozen,std_tunedC,25,11,smote,0.01,0.43359375,0.0,0.96875,0.6303482587064676,0.06666666666666667,0.9253731343283582,0.6924342105263157,0.21052631578947367,0.90625,-0.2588404605263157
resnet50_frozen,std_tunedC,25,11,smote_shuf,0.1,0.43437499999999996,0.0,0.96875,0.6460199004975123,0.06666666666666667,0.9402985074626866,0.6866776315789473,0.15789473684210525,0.9375,-0.2523026315789474
resnet50_frozen,std_tunedC,25,11,smote_light,0.1,0.409375,0.0,0.984375,0.6024875621890547,0.06666666666666667,0.9402985074626866,0.6163651315789473,0.10526315789473684,0.921875,-0.20699013157894736
resnet50_frozen,std_tunedC,25,11,smote_allmal,10.0,0.3890625,0.0,0.984375,0.5907960199004976,0.06666666666666667,0.9552238805970149,0.5982730263157894,0.10526315789473684,0.953125,-0.2092105263157894
resnet50_frozen,std_tunedC,25,11,src_demo,0.1,0.5296875,0.0,1.0,0.6288557213930348,0.0,1.0,0.587171052631579,0.0,1.0,-0.057483552631579005
resnet50_frozen,std_tunedC,25,11,src_cond,0.1,0.55,0.0,1.0,0.6756218905472637,0.0,1.0,0.678453947368421,0.0,1.0,-0.12845394736842097
resnet50_frozen,std_tunedC,25,11,src_cond_dark,0.1,0.509375,0.0,1.0,0.6258706467661692,0.0,1.0,0.5888157894736842,0.0,1.0,-0.07944078947368416
resnet50_frozen,std_tunedC,25,11,src_cond_shuf,0.1,0.61015625,0.0,1.0,0.6477611940298508,0.0,1.0,0.6118421052631579,0.0,1.0,-0.0016858552631578982
resnet50_frozen,std_tunedC,25,12,simple,0.01,0.51953125,0.05,0.984375,0.6084577114427862,0.06666666666666667,0.9850746268656716,0.5115131578947368,0.0,0.953125,0.008018092105263164
resnet50_frozen,std_tunedC,25,12,fair,0.01,0.5234375,0.05,0.984375,0.608457711442786,0.06666666666666667,0.9850746268656716,0.513157894736842,0.0,0.9375,0.010279605263157965
resnet50_frozen,std_tunedC,25,12,smote,0.01,0.4359375000000001,0.0,1.0,0.4975124378109452,0.0,1.0,0.48848684210526316,0.0,0.96875,-0.052549342105263075
resnet50_frozen,std_tunedC,25,12,smote_shuf,0.1,0.4609375,0.05,1.0,0.5084577114427862,0.0,1.0,0.4597039473684211,0.0,0.96875,0.001233552631578927
resnet50_frozen,std_tunedC,25,12,smote_light,0.1,0.47187499999999993,0.05,1.0,0.5029850746268656,0.0,1.0,0.43914473684210525,0.0,0.984375,0.03273026315789468
resnet50_frozen,std_tunedC,25,12,smote_allmal,10.0,0.42890625,0.0,1.0,0.47313432835820896,0.0,1.0,0.4194078947368421,0.0,0.984375,0.009498355263157898
resnet50_frozen,std_tunedC,25,12,src_demo,0.1,0.6203125,0.05,1.0,0.6049751243781095,0.03333333333333333,1.0,0.5731907894736842,0.05263157894736842,0.984375,0.04712171052631586
resnet50_frozen,std_tunedC,25,12,src_cond,0.1,0.63359375,0.0,1.0,0.6238805970149254,0.03333333333333333,1.0,0.6332236842105263,0.0,1.0,0.0003700657894736281
resnet50_frozen,std_tunedC,25,12,src_cond_dark,0.1,0.61953125,0.05,1.0,0.6044776119402985,0.03333333333333333,1.0,0.6200657894736842,0.0,0.984375,-0.0005345394736842035
resnet50_frozen,std_tunedC,25,12,src_cond_shuf,0.1,0.6515625,0.0,1.0,0.6318407960199006,0.03333333333333333,1.0,0.609375,0.0,1.0,0.042187500000000044
resnet50_frozen,std_tunedC,25,13,simple,0.01,0.59765625,0.05,0.984375,0.45223880597014926,0.0,0.9701492537313433,0.4967105263157895,0.10526315789473684,0.984375,0.10094572368421051
resnet50_frozen,std_tunedC,25,13,fair,0.1,0.596875,0.05,0.984375,0.44676616915422884,0.0,0.9701492537313433,0.5041118421052632,0.15789473684210525,0.984375,0.09276315789473688
resnet50_frozen,std_tunedC,25,13,smote,0.1,0.5937499999999999,0.0,1.0,0.4626865671641791,0.0,1.0,0.49917763157894735,0.05263157894736842,0.984375,0.09457236842105254
resnet50_frozen,std_tunedC,25,13,smote_shuf,1.0,0.5765625,0.05,1.0,0.481592039800995,0.0,1.0,0.4967105263157895,0.0,1.0,0.07985197368421049
resnet50_frozen,std_tunedC,25,13,smote_light,1.0,0.56640625,0.05,0.984375,0.46815920398009947,0.0,0.9850746268656716,0.4851973684210527,0.0,1.0,0.08120888157894729
