backbone,rep,method,kind,skin,dgroup,n_pos,sens,auroc_vs_benign,subset,n,auroc
resnet50_frozen,4,source,overall,dark,,7,1.0,,noLYM,71.0,0.7433035714285714
resnet50_frozen,4,simple,stratum,light,KC,13,0.07692307692307693,0.8185096153846154,,,
resnet50_frozen,4,simple,stratum,light,MEL,5,0.0,0.5187499999999999,,,
resnet50_frozen,4,simple,stratum,light,LYM,1,0.0,0.6875,,,
resnet50_frozen,4,simple,stratum,light,OTH,1,0.0,0.75,,,
resnet50_frozen,4,simple,stratum,mid,KC,25,0.08,0.813134328358209,,,
resnet50_frozen,4,simple,stratum,mid,MEL,3,0.0,0.26865671641791045,,,
resnet50_frozen,4,simple,stratum,mid,LYM,1,0.0,0.4626865671641791,,,
resnet50_frozen,4,simple,stratum,mid,OTH,1,1.0,1.0,,,
resnet50_frozen,4,simple,stratum,dark,KC,4,0.25,0.70703125,,,
resnet50_frozen,4,simple,stratum,dark,MEL,2,0.0,0.7578125,,,
resnet50_frozen,4,simple,stratum,dark,LYM,12,0.0,0.7330729166666667,,,
resnet50_frozen,4,simple,stratum,dark,OTH,1,0.0,0.765625,,,
resnet50_frozen,4,simple,overall,light,,20,0.05,,all,84.0,0.7335937499999999
resnet50_frozen,4,simple,overall,mid,,30,0.1,,all,97.0,0.7532338308457712
resnet50_frozen,4,simple,overall,dark,,19,0.05263157894736842,,all,83.0,0.731907894736842
resnet50_frozen,4,simple,overall,light,,19,0.05263157894736842,,noLYM,83.0,0.7360197368421053
resnet50_frozen,4,simple,overall,mid,,29,0.10344827586206896,,noLYM,96.0,0.7632527020072053
resnet50_frozen,4,simple,overall,dark,,7,0.14285714285714285,,noLYM,71.0,0.7299107142857143
resnet50_frozen,4,fair,stratum,light,KC,13,0.3076923076923077,0.8100961538461539,,,
resnet50_frozen,4,fair,stratum,light,MEL,5,0.0,0.53125,,,
resnet50_frozen,4,fair,stratum,light,LYM,1,0.0,0.65625,,,
resnet50_frozen,4,fair,stratum,light,OTH,1,0.0,0.703125,,,
resnet50_frozen,4,fair,stratum,mid,KC,25,0.08,0.8346268656716418,,,
resnet50_frozen,4,fair,stratum,mid,MEL,3,0.0,0.28358208955223885,,,
resnet50_frozen,4,fair,stratum,mid,LYM,1,0.0,0.5970149253731343,,,
resnet50_frozen,4,fair,stratum,mid,OTH,1,1.0,1.0,,,
resnet50_frozen,4,fair,stratum,dark,KC,4,0.25,0.6796875,,,
resnet50_frozen,4,fair,stratum,dark,MEL,2,0.0,0.53125,,,
resnet50_frozen,4,fair,stratum,dark,LYM,12,0.16666666666666666,0.7578125,,,
resnet50_frozen,4,fair,stratum,dark,OTH,1,0.0,0.578125,,,
resnet50_frozen,4,fair,overall,light,,20,0.2,,all,84.0,0.7273437500000001
resnet50_frozen,4,fair,overall,mid,,30,0.1,,all,97.0,0.7771144278606965
resnet50_frozen,4,fair,overall,dark,,19,0.15789473684210525,,all,83.0,0.7080592105263157
resnet50_frozen,4,fair,overall,light,,19,0.21052631578947367,,noLYM,83.0,0.7310855263157895
resnet50_frozen,4,fair,overall,mid,,29,0.10344827586206896,,noLYM,96.0,0.7833247555326814
resnet50_frozen,4,fair,overall,dark,,7,0.14285714285714285,,noLYM,71.0,0.6227678571428572
resnet50_frozen,5,source,stratum,light,KC,14,0.7142857142857143,0.4575892857142857,,,
resnet50_frozen,5,source,stratum,light,MEL,3,0.6666666666666666,0.2864583333333333,,,
resnet50_frozen,5,source,stratum,light,LYM,1,1.0,0.6875,,,
resnet50_frozen,5,source,stratum,light,OTH,2,1.0,0.7109375,,,
resnet50_frozen,5,source,stratum,mid,KC,26,0.8461538461538461,0.6079219288174512,,,
resnet50_frozen,5,source,stratum,mid,MEL,3,1.0,0.7263681592039801,,,
resnet50_frozen,5,source,stratum,mid,LYM,1,1.0,0.6417910447761195,,,
resnet50_frozen,5,source,stratum,dark,KC,3,1.0,0.7916666666666666,,,
resnet50_frozen,5,source,stratum,dark,MEL,5,0.6,0.515625,,,
resnet50_frozen,5,source,stratum,dark,LYM,10,0.8,0.61171875,,,
resnet50_frozen,5,source,stratum,dark,OTH,1,1.0,0.65625,,,
resnet50_frozen,5,source,overall,light,,20,0.75,,all,84.0,0.46875
resnet50_frozen,5,source,overall,mid,,30,0.8666666666666667,,all,97.0,0.6208955223880597
resnet50_frozen,5,source,overall,dark,,19,0.7894736842105263,,all,83.0,0.6171875
resnet50_frozen,5,source,overall,light,,19,0.7368421052631579,,noLYM,83.0,0.45723684210526316
resnet50_frozen,5,source,overall,mid,,29,0.8620689655172413,,noLYM,96.0,0.6201749871332991
resnet50_frozen,5,source,overall,dark,,9,0.7777777777777778,,noLYM,73.0,0.6232638888888888
resnet50_frozen,5,simple,stratum,light,KC,14,0.07142857142857142,0.7555803571428572,,,
resnet50_frozen,5,simple,stratum,light,MEL,3,0.0,0.5729166666666666,,,
resnet50_frozen,5,simple,stratum,light,LYM,1,0.0,0.578125,,,
resnet50_frozen,5,simple,stratum,light,OTH,2,0.0,0.5,,,
resnet50_frozen,5,simple,stratum,mid,KC,26,0.11538461538461539,0.7158438576349024,,,
resnet50_frozen,5,simple,stratum,mid,MEL,3,0.0,0.31840796019900497,,,
resnet50_frozen,5,simple,stratum,mid,LYM,1,0.0,0.9104477611940298,,,
resnet50_frozen,5,simple,stratum,dark,KC,3,0.3333333333333333,0.609375,,,
resnet50_frozen,5,simple,stratum,dark,MEL,5,0.0,0.578125,,,
resnet50_frozen,5,simple,stratum,dark,LYM,10,0.3,0.84375,,,
resnet50_frozen,5,simple,stratum,dark,OTH,1,0.0,0.8125,,,
resnet50_frozen,5,simple,overall,light,,20,0.05,,all,84.0,0.69375
resnet50_frozen,5,simple,overall,mid,,30,0.1,,all,97.0,0.6825870646766169
resnet50_frozen,5,simple,overall,dark,,19,0.21052631578947367,,all,83.0,0.7351973684210527
resnet50_frozen,5,simple,overall,light,,19,0.05263157894736842,,noLYM,83.0,0.6998355263157894
resnet50_frozen,5,simple,overall,mid,,29,0.10344827586206896,,noLYM,96.0,0.6747297992794647
resnet50_frozen,5,simple,overall,dark,,9,0.1111111111111111,,noLYM,73.0,0.6145833333333333
resnet50_frozen,5,fair,stratum,light,KC,14,0.2857142857142857,0.7611607142857142,,,
resnet50_frozen,5,fair,stratum,light,MEL,3,0.0,0.5833333333333333,,,
resnet50_frozen,5,fair,stratum,light,LYM,1,0.0,0.546875,,,
resnet50_frozen,5,fair,stratum,light,OTH,2,0.0,0.484375,,,
resnet50_frozen,5,fair,stratum,mid,KC,26,0.15384615384615385,0.7531572904707233,,,
resnet50_frozen,5,fair,stratum,mid,MEL,3,0.0,0.32835820895522383,,,
resnet50_frozen,5,fair,stratum,mid,LYM,1,0.0,0.9850746268656716,,,
resnet50_frozen,5,fair,stratum,dark,KC,3,0.3333333333333333,0.6145833333333334,,,
resnet50_frozen,5,fair,stratum,dark,MEL,5,0.0,0.5125,,,
resnet50_frozen,5,fair,stratum,dark,LYM,10,0.4,0.8609375,,,
resnet50_frozen,5,fair,stratum,dark,OTH,1,0.0,0.875,,,
resnet50_frozen,5,fair,overall,light,,20,0.2,,all,84.0,0.69609375
resnet50_frozen,5,fair,overall,mid,,30,0.13333333333333333,,all,97.0,0.718407960199005
resnet50_frozen,5,fair,overall,dark,,19,0.2631578947368421,,all,83.0,0.7310855263157895
resnet50_frozen,5,fair,overall,light,,19,0.21052631578947367,,noLYM,83.0,0.7039473684210525
resnet50_frozen,5,fair,overall,mid,,29,0.13793103448275862,,noLYM,96.0,0.7092125579001545
resnet50_frozen,5,fair,overall,dark,,9,0.1111111111111111,,noLYM,73.0,0.5868055555555556
resnet50_frozen,6,source,stratum,light,KC,16,0.625,0.486328125,,,
resnet50_frozen,6,source,stratum,light,MEL,2,0.5,0.5546875,,,
resnet50_frozen,6,source,stratum,light,LYM,1,1.0,0.796875,,,
resnet50_frozen,6,source,stratum,light,OTH,1,1.0,0.796875,,,
resnet50_frozen,6,source,stratum,mid,KC,23,0.782608695652174,0.5564568462037638,,,
resnet50_frozen,6,source,stratum,mid,MEL,3,0.6666666666666666,0.5223880597014925,,,
resnet50_frozen,6,source,stratum,mid,LYM,3,1.0,0.6318407960199004,,,
resnet50_frozen,6,source,stratum,mid,OTH,1,0.0,0.26865671641791045,,,
resnet50_frozen,6,source,stratum,dark,KC,2,1.0,0.6015625,,,
resnet50_frozen,6,source,stratum,dark,MEL,5,0.4,0.3171875,,,
